date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
69,2021-01-03 20:00:00,2021,1,3,20,Evening,1,53,6,Winter,False
70,2021-01-03 21:00:00,2021,1,3,21,Night,1,53,6,Winter,False
71,2021-01-03 22:00:00,2021,1,3,22,Night,1,53,6,Winter,False
72,2021-01-03 23:00:00,2021,1,3,23,Night,1,53,6,Winter,False
73,2021-01-04 00:00:00,2021,1,4,0,Night,1,1,0,Winter,False
74,2021-01-04 01:00:00,2021,1,4,1,Night,1,1,0,Winter,False
75,2021-01-04 02:00:00,2021,1,4,2,Night,1,1,0,Winter,False
76,2021-01-04 03:00:00,2021,1,4,3,Night,1,1,0,Winter,False
77,2021-01-04 04:00:00,2021,1,4,4,Night,1,1,0,Winter,False
78,2021-01-04 05:00:00,2021,1,4,5,Morning,1,1,0,Winter,False
79,2021-01-04 06:00:00,2021,1,4,6,Morning,1,1,0,Winter,False
80,2021-01-04 07:00:00,2021,1,4,7,Morning,1,1,0,Winter,False
81,2021-01-04 08:00:00,2021,1,4,8,Morning,1,1,0,Winter,False
82,2021-01-04 09:00:00,2021,1,4,9,Morning,1,1,0,Winter,False
83,2021-01-04 10:00:00,2021,1,4,10,Morning,1,1,0,Winter,False
84,2021-01-04 11:00:00,2021,1,4,11,Morning,1,1,0,Winter,False
85,2021-01-04 12:00:00,2021,1,4,12,Afternoon,1,1,0,Winter,False
86,2021-01-04 13:00:00,2021,1,4,13,Afternoon,1,1,0,Winter,False
87,2021-01-04 14:00:00,2021,1,4,14,Afternoon,1,1,0,Winter,False
88,2021-01-04 15:00:00,2021,1,4,15,Afternoon,1,1,0,Winter,False
89,2021-01-04 16:00:00,2021,1,4,16,Afternoon,1,1,0,Winter,False
90,2021-01-04 17:00:00,2021,1,4,17,Afternoon,1,1,0,Winter,False
91,2021-01-04 18:00:00,2021,1,4,18,Evening,1,1,0,Winter,False
92,2021-01-04 19:00:00,2021,1,4,19,Evening,1,1,0,Winter,False
93,2021-01-04 20:00:00,2021,1,4,20,Evening,1,1,0,Winter,False
94,2021-01-04 21:00:00,2021,1,4,21,Night,1,1,0,Winter,False
95,2021-01-04 22:00:00,2021,1,4,22,Night,1,1,0,Winter,False
96,2021-01-04 23:00:00,2021,1,4,23,Night,1,1,0,Winter,False
97,2021-01-05 00:00:00,2021,1,5,0,Night,1,1,1,Winter,False
98,2021-01-05 01:00:00,2021,1,5,1,Night,1,1,1,Winter,False
99,2021-01-05 02:00:00,2021,1,5,2,Night,1,1,1,Winter,False
100,2021-01-05 03:00:00,2021,1,5,3,Night,1,1,1,Winter,False
